episode,timestep,reward
1273,20000,1.2731
2559,40000,1.1689
3621,60000,4.9018
4699,80000,4.9484
5497,100000,11.4831
6288,120000,11.7772
6830,140000,25.1346
7363,160000,25.5704
7691,180000,54.7381
7998,200000,59.6254
8223,220000,93.2967
8427,240000,111.67
8572,260000,178.7834
8715,280000,183.5794
8847,300000,208.515
8984,320000,202.4491
9099,340000,235.4909
9206,360000,260.2239
9304,380000,291.1011
9396,400000,306.6667
9491,420000,308.6592
9605,440000,278.4932
9698,460000,301.4602
9798,480000,294.9374
9901,500000,309.5254
10013,520000,297.0542
10135,540000,282.3003
10246,560000,301.1267
10361,580000,296.5934
10480,600000,292.0401
10602,620000,283.3595
10723,640000,287.8813
10849,660000,281.2451
10971,680000,289.391
11102,700000,283.8676
11231,720000,285.3017
11360,740000,290.4061
11495,760000,279.2964
11634,780000,278.1968
11773,800000,279.8817
11910,820000,287.6781
12047,840000,287.3989
12179,860000,297.2045
12313,880000,294.3944
12451,900000,293.5074
12586,920000,294.4892
12723,940000,298.3727
12853,960000,309.6251
12980,980000,318.1496
13109,1000000,313.551
13240,1020000,318.876
13372,1040000,313.401
13496,1060000,334.9699
13624,1080000,321.5287
13745,1100000,340.8399
13866,1120000,336.7404
13989,1140000,336.8866
14108,1160000,346.0518
14228,1180000,346.9984
14347,1200000,346.3203
14464,1220000,354.8807
14582,1240000,351.3665
14698,1260000,362.1201
14820,1280000,353.4246
14942,1300000,359.2113
15060,1320000,366.2226
15180,1340000,372.0806
15297,1360000,375.5486
15417,1380000,375.6218
15533,1400000,385.2236
15649,1420000,387.199
15768,1440000,384.2229
15884,1460000,392.9774
16001,1480000,390.2984
16116,1500000,408.0054
16232,1520000,408.4305
16346,1540000,416.4925
16460,1560000,416.3955
16571,1580000,424.9029
16684,1600000,422.5763
16797,1620000,424.963
16910,1640000,421.7277
17024,1660000,422.079
17138,1680000,421.5649
17253,1700000,422.0403
17367,1720000,421.8275
17481,1740000,424.4135
17597,1760000,422.5442
17714,1780000,422.8396
17830,1800000,423.3709
17947,1820000,422.8733
18065,1840000,423.0277
18182,1860000,423.336
18299,1880000,427.9214
18415,1900000,430.8516
18530,1920000,432.6342
18646,1940000,434.7963
18761,1960000,435.1975
18876,1980000,440.2781
18991,2000000,439.1451
19105,2020000,448.7286
19219,2040000,449.2943
19333,2060000,452.1214
19446,2080000,452.9754
19559,2100000,455.5226
19671,2120000,455.3174
19784,2140000,457.5052
19896,2160000,462.2996
20007,2180000,465.7532
20119,2200000,462.5062
20231,2220000,466.7171
20343,2240000,466.4674
20455,2260000,470.8257
20567,2280000,470.2802
20679,2300000,474.7368
20792,2320000,474.1562
20902,2340000,483.3519
21014,2360000,479.7416
21124,2380000,487.2833
21235,2400000,482.3531
21344,2420000,488.8343
21455,2440000,485.6789
21565,2460000,488.3796
21675,2480000,491.2615
21782,2500000,499.4549
21891,2520000,500.7895
22000,2540000,503.4409
22109,2560000,502.7311
22217,2580000,505.8442
22326,2600000,503.8798
22434,2620000,507.1313
22542,2640000,507.9446
22650,2660000,510.7326
22758,2680000,509.0722
22867,2700000,511.0862
22975,2720000,510.651
23082,2740000,514.6273
23190,2760000,514.2633
23297,2780000,515.1795
23405,2800000,517.029
23511,2820000,521.7132
23618,2840000,519.5097
23724,2860000,523.2478
23830,2880000,524.1007
23937,2900000,522.9375
24043,2920000,524.5084
24150,2940000,524.1437
24257,2960000,525.1246
24363,2980000,528.9883
24468,3000000,530.4231
